customer_id,full_name,ssn,email,account_number,account_balance,credit_score,has_defaulted
CUST_000001,Alyssa Gonzalez,667908929,lrobinson@example.com,UDAX43321819600133,47776.72,325.0,0
CUST_000002,Andrew Stevens,128-49-1292,,ZAYZ26542351161559,55420.41,389.0,0
CUST_000003,Melinda Jones,651-22-8752,frankgray@example.net,GWCB34131647525534,44952.41,503.0,0
CUST_000004,Maria Thomas,143-32-9198,julie69@example.com,WRHV50305641395376,20503.4,306.0,0
CUST_000005,Juan Dunlap,697-93-1877,kayla51@example.com,LHEQ71012269166978,15756.19,644.0,0
CUST_000006,Linda Burns,115-47-5039,brianhumphrey@example.org,NFOA48281489325288,19471.33,344.0,0
CUST_000007,Michael Brooks,530-58-1983,jeffreymorgan@example.net,CXPC82278248963834,41179.07,670.0,0
CUST_000008,Timothy Duncan,485-32-7750,glee@example.net,RHSH01031051834738,21348.79,381.0,0
CUST_000009,Joel Baxter,078-57-9017,williamsyvette@example.org,NLNN70106513338726,62475.34,466.0,0
CUST_000010,Monica Logan,678-92-7974,jamesrobinson@example.org,CYHF67736026064746,48426.67,475.0,0
CUST_000011,Scott Powell,584-32-9486,harveyrobert@example.net,SXRB50097882081219,69367.03,524.0,0
CUST_000012,Angel Lewis MD,358-09-4003,justin78@example.net,SQKI35346247510799,1923.57,623.0,0
CUST_000013,Grant Watts,874-34-8281,dking@example.org,JTZU80841241182449,53702.53,517.0,0
CUST_000014,Jacob Tran,441-17-0686,michael05@example.org,UNIB05242786801128,19498.45,552.0,0
CUST_000015,Richard Rodriguez,894057712,jamessellers@example.com,VHVD58692322602563,43556.74,670.0,0
CUST_000016,Debbie Carpenter,272-05-1777,yreed@example.com,JZHH03654145868501,3057.29,412.0,0
CUST_000017,Mary Martinez,308655068,snguyen@example.com,NTQD69340608835615,28549.93,779.0,0
CUST_000018,Julie Ramos,219-66-7753,donnacampbell@example.net,REGN62994680443699,53914.5,849.0,0
CUST_000019,Michael Snyder,250-19-0091,osbornejeffery@example.net,UTKC34332003791769,11440.91,303.0,1
CUST_000020,Christopher Hensley,461-34-4051,katie87@example.net,QOBR31727889579868,12988.22,408.0,0
CUST_000021,Gary Owens,064276884,lstein@example.net,HIOC43455812236231,11039.36,465.0,0
CUST_000022,Mr. Michael Yates,742-22-7658,tinaferguson@example.com,AYSM70546688937346,23973.78,319.0,0
CUST_000023,Trevor Fisher,855-11-7706,currybrett@example.com,SSVA16272046537556,17578.65,546.0,0
CUST_000024,Pamela Jackson,622-96-1877,tamirodriguez@example.org,HUCY00330923271937,4725.55,845.0,0
CUST_000025,Andrea Holland,013-54-8032,hamiltonmichael@example.com,JSVM63193149190586,19511.78,733.0,1
CUST_000026,John Bishop,389-44-0471,lrosales@example.com,WENF84987769453147,53327.65,708.0,1
CUST_000027,Maria Henry,812-03-1525,,GLZI54948083136783,8635.82,530.0,0
CUST_000028,Joshua Gill,190253546,lhill@example.net,SLPR85685574443135,42.91,360.0,0
CUST_000029,Nicole Garcia,013-74-4659,vmendoza@example.org,TJDG43524082400842,17469.35,797.0,0
CUST_000030,Lisa Gibbs,232-67-6233,tkerr@example.net,BIPD16719022941318,35186.66,784.0,0
CUST_000031,Michael Harrison,034-30-4721,jacqueline71@example.net,NJST09133412328120,31480.19,778.0,0
CUST_000032,Laura Roberts,128-60-4983,gbender@example.net,HIZZ93618324210249,4076.26,647.0,0
CUST_000033,Casey Stone,453-36-2974,fwalters@example.org,POCT06594013990490,10083.76,487.0,0
CUST_000034,Wayne Powell,527-01-8890,mgutierrez@example.net,PLNK51256746807154,64531.86,400.0,0
CUST_000035,Adam Russell,231-15-7561,hollanderic@example.net,LTYP70348247710932,69440.71,542.0,0
CUST_000036,Sarah Morgan,807-65-4378,campbellkenneth@example.net,JQWI67737826398214,3926.97,688.0,0
CUST_000037,Reginald Williams,763-61-6247,ymcneil@example.net,SVPE78755886753396,21036.32,798.0,0
CUST_000038,Deborah Hanson,408-84-1316,melissa86@example.com,EPBE89517187026217,40435.74,621.0,0
CUST_000039,Amber Flynn,301-46-6142,hthomas@example.com,UWYP80913431611724,11386.17,820.0,0
CUST_000040,Adam Ballard,295878956,charleslandry@example.net,SVZF22196937923747,17257.89,422.0,1
CUST_000041,Ronald Foster,009-73-0804,swall@example.org,JUNW47436713695944,5689.75,835.0,0
CUST_000042,Jason Gonzalez,806-70-5995,maria47@example.com,TZLH39421047095214,19553.9,434.0,0
CUST_000043,Paul Baker,391-82-6087,leonardthomas@example.net,XKZD71236851604817,4977.01,769.0,0
CUST_000044,Jesse Santiago,761-90-8851,umatthews@example.org,RKTH17461200471138,37694.29,435.0,1
CUST_000045,Donald Donaldson,869591502,darleneharper@example.org,NUDP96405377351585,11409.89,609.0,0
CUST_000046,Brianna Anderson,257-23-1802,andersonmichael@example.org,BZKH29318393352904,61191.36,606.0,1
CUST_000047,Theresa Williams,803-85-8544,stephen00@example.com,SKAF40268117758917,66673.31,459.0,0
CUST_000048,Kyle Phillips,518787049,mcguiredanny@example.net,MNVD77115921249985,47384.97,570.0,0
CUST_000049,Christian Leblanc,069-12-1399,reynoldsjulie@example.com,UYRX36736576615654,47388.48,583.0,0
CUST_000050,Christy Douglas,230145737,danny49@example.org,ZERB98851656049451,11699.44,,0
CUST_000051,Kylie Morales,146950503,reesejason@example.com,ZNRY99809402445502,66174.53,452.0,0
CUST_000052,Mr. Donald Fischer,117457044,campbellerika@example.com,OKFL45991022901476,9122.14,615.0,0
CUST_000053,Jeffrey Anderson MD,236-65-9155,charles06@example.org,QVJB36900343244510,26514.6,555.0,0
CUST_000054,Brian Graham,411-68-1289,vharrell@example.com,OCKS69664160529751,73024.7,458.0,1
CUST_000055,Christian Malone,078-23-8096,wwebster@example.net,HKYF18188355231243,12867.45,722.0,0
CUST_000056,Joel Johnson,378-37-1258,gilbertwilliam@example.com,OVSU95527177449058,60068.75,554.0,0
CUST_000057,Carrie Wright,449-57-8587,michaelhardin@example.com,SRZX07935978207151,64323.79,527.0,0
CUST_000058,Brenda Bailey,672-90-6422,brookehurley@example.com,NYKV90515186449251,65284.89,528.0,0
CUST_000059,Zachary Moore,303-13-8318,stanleynancy@example.net,RMUZ52816850542357,72500.13,585.0,0
CUST_000060,Emily Stokes,481-25-6027,smurray@example.com,ETME22927065379473,24501.82,328.0,0
CUST_000061,Taylor Hernandez,448-12-3638,bwilkerson@example.com,QQNF39240758181412,19542.71,411.0,0
CUST_000062,Brenda Thornton,460-79-0087,smithjason@example.org,BMQL36153051522047,73809.81,418.0,0
CUST_000063,Alexis Robertson,248-92-2353,ruben95@example.org,RXTQ61434103697117,-372.31,501.0,0
CUST_000064,Mrs. Alexis Kramer,354-31-1699,dennis58@example.com,SNFV18518888806706,23200.63,427.0,0
CUST_000065,Virginia Daniels,260-05-3132,michael05@example.com,UFYV77221704303054,29881.23,602.0,0
CUST_000066,Samantha Gardner,329141312,donna47@example.net,DZLN67652775841616,55984.16,478.0,0
CUST_000067,Brenda Lawson,801-57-0571,carlososborne@example.com,WNFW75705964016582,21161.99,740.0,0
CUST_000068,Brian Fitzgerald,512676341,greenjorge@example.com,LMSB92755719285654,50509.86,823.0,0
CUST_000069,Elijah Moore,727-90-2853,william13@example.org,GTJW73121727155188,5902.06,827.0,0
CUST_000070,Jason Andrews,129-41-1216,howens@example.com,HZPA58957829114678,17232.58,,0
CUST_000071,Todd Jacobson,867-11-4106,cynthiapierce@example.org,EYRU92268018242253,35372.79,374.0,0
CUST_000072,Martin Ray,667-27-9374,bmontgomery@example.com,UJTR18299229959001,28490.37,,0
CUST_000073,Charles Hensley,327-94-5659,xanderson@example.net,URJU47364710276773,57638.49,409.0,0
CUST_000074,Taylor Griffith,195-98-2611,dferrell@example.com,RDKH71473210469632,34573.52,555.0,1
CUST_000075,Sarah Jordan,271-94-5993,zdiaz@example.org,JPAC68733950047974,39600.46,624.0,1
CUST_000076,William Grant,375-97-2364,carriemorales@example.org,SRGL84168784991216,37610.75,756.0,1
CUST_000077,Elizabeth Rogers,849-66-8722,terickson@example.com,BBEW57872982595269,18166.6,583.0,0
CUST_000078,Mark Harvey,862492422,anthonyvaughan@example.org,ALKV16940974993097,5349.99,592.0,0
CUST_000079,Mrs. Jamie Frye DDS,546-44-8951,erica49@example.com,GAOK62636897028385,10887.71,692.0,0
CUST_000080,Jamie Baird,839-45-2400,bobby15@example.com,GHIR43443757584419,40467.14,725.0,0
CUST_000081,David Garcia,339927740,maldonadoderrick@example.net,UIXP33848421993308,70927.68,320.0,0
CUST_000082,Amanda Huff,807-64-3053,nancy04@example.net,FNUP73454019380262,26057.79,699.0,0
CUST_000083,Alexis Rogers,303-73-3165,cherylfowler@example.com,TDKJ78872874315274,40732.99,525.0,0
CUST_000084,Nathan Smith,670-47-3872,contrerassteven@example.org,NQKC61227530463745,49999.96,714.0,0
CUST_000085,Susan Todd,822-86-3579,erinlarson@example.org,MVQW41459332727956,39826.33,703.0,0
CUST_000086,Michael Love,501-12-8362,dstokes@example.org,QOQW51910883982258,64947.28,486.0,0
CUST_000087,Kimberly Brown,071-61-0520,robert26@example.com,QNOS08740640391065,56972.84,688.0,0
CUST_000088,Nathan Coleman,389-30-4056,rreed@example.org,MOMM18251286823004,35008.17,353.0,1
CUST_000089,David Robinson,885082296,jim95@example.net,XYDB69033119079030,48707.48,,1
CUST_000090,William David DDS,805-68-5223,trussell@example.com,TYVK34283644089268,9029.68,417.0,0
CUST_000091,Gary Miller,461-48-1515,brettbennett@example.net,FYRP33427086688263,12168.08,417.0,0
CUST_000092,Jennifer Allen,330-37-6237,wferguson@example.com,TBCG98373540331739,69630.98,684.0,0
CUST_000093,Lauren Cortez,303-20-3215,jerry93@example.com,ILQP71753556093204,46856.8,404.0,0
CUST_000094,Ryan Landry,685-07-0105,otaylor@example.org,RUVK47772522872808,59615.15,342.0,0
CUST_000095,Joseph Hill,294-03-8229,ldrake@example.org,CWEA38750997700886,25262.95,730.0,0
CUST_000096,Ronald Miller,879-84-0520,sullivannicholas@example.com,DQEH39845461567933,62067.4,456.0,0
CUST_000097,Benjamin Frost,557-73-0540,sarahedwards@example.org,BUAW21765918033974,60519.04,795.0,0
CUST_000098,Haley Davis,238-10-5581,unovak@example.org,SEYW61429396856218,18034.89,388.0,0
CUST_000099,Christian Dawson,650-20-6384,michael10@example.com,UIZO73586629619431,49948.23,644.0,0
CUST_000100,Linda Mueller,885-50-0203,robert18@example.org,OLYI12126788861015,59736.34,648.0,0
CUST_000101,Mr. David Wright,641-64-9729,stephentaylor@example.org,SQFV62244472126464,38505.36,495.0,0
CUST_000102,Doris Neal,503-74-3972,,MKTM57569245937526,51641.01,802.0,0
CUST_000103,Michelle Mccormick,076-58-9797,iaguilar@example.net,SGSR28073741672434,17869.54,677.0,0
CUST_000104,Brett Walker,765679143,seanmyers@example.net,WNRB58911352909656,24474.74,764.0,0
CUST_000105,Hannah Davis,740-90-7413,carlos01@example.org,SWQE50714611254573,8526.38,848.0,1
CUST_000106,Jessica Johnson,629-26-7366,tprice@example.org,KUDV23828258673622,20375.72,837.0,0
CUST_000107,Lisa Matthews,357-46-7502,lisamccarthy@example.com,GIYW19182553714785,26746.52,609.0,0
CUST_000108,Jenny Tucker,551892839,tracytaylor@example.com,TSCV25134125286692,41278.6,429.0,0
CUST_000109,Andre Juarez,300-05-4504,amandajackson@example.com,OTBL07236887676772,20967.62,790.0,0
CUST_000110,Ashley Greer PhD,305057369,michael17@example.org,SXYY78819148580783,35568.55,366.0,0
CUST_000111,Caroline Werner,300-38-9384,stephanie81@example.org,YZHG95962923309584,10764.42,611.0,0
CUST_000112,Mark Beard,096-52-8448,heather57@example.com,YZNB42232536729466,44507.58,531.0,0
CUST_000113,Bianca Phelps,808-44-0794,garciakristen@example.com,KSAY17518636374545,43933.65,739.0,0
CUST_000114,Mario Barber,774-30-7033,padillaaaron@example.com,ADFO70632424154152,71043.06,512.0,0
CUST_000115,Jacob Evans,392-97-2182,caseyelliott@example.net,CESH87005162713611,41175.41,460.0,0
CUST_000116,Charles Hill,087-32-9067,kimberly04@example.org,UFOL32697311219656,16976.46,589.0,0
CUST_000117,Bonnie Valencia,583-54-5987,kathrynbest@example.org,QTQG64037613791805,58981.02,502.0,0
CUST_000118,Diamond Collins,524-27-2546,peter14@example.net,ASCA43006848666188,61910.65,373.0,0
CUST_000119,Troy Mills,802-93-4248,nathanbrady@example.com,NXHB31617990421020,69050.04,749.0,0
CUST_000120,Carol Moore,792-14-9403,perezwilliam@example.org,XDYA56481491778507,37285.65,805.0,0
CUST_000121,Barbara Nunez,054-23-3657,finleycasey@example.com,AHBP56220863536541,45080.38,326.0,0
CUST_000122,Yolanda Parsons,751-70-4017,adamortiz@example.org,JYJK18705349493759,71284.36,575.0,0
CUST_000123,Thomas Merritt,533-53-6103,fvillegas@example.net,RLUW05064138367024,32888.32,584.0,0
CUST_000124,David Harding,140999580,moorefrank@example.com,DQEU61990623445655,6388.8,656.0,0
CUST_000125,Michael Schmitt,406-66-0803,jorge20@example.com,KNDR53747411249035,30579.2,807.0,0
CUST_000126,Deanna Hess,023-09-3240,flamb@example.com,ORXR31712100323651,33839.36,622.0,0
CUST_000127,Charles Mendez,632324836,jjenkins@example.com,DBOB29667066253244,61782.0,301.0,0
CUST_000128,Jasmine White,327-77-3589,huangkimberly@example.org,BCIM26383806578759,26814.34,810.0,0
CUST_000129,Kevin Drake,715-46-9693,warnermichael@example.net,ZPQL93213348039652,69539.29,,1
CUST_000130,Thomas Harris,134-44-2908,,SESG78427010393087,59848.19,462.0,0
CUST_000131,Wayne Steele,629-46-3658,nicholasgross@example.com,EYDQ51569154522675,63026.13,416.0,0
CUST_000132,Cynthia Haas,172-82-1454,sean43@example.org,EFXA96902959391725,53603.55,821.0,0
CUST_000133,Rachel Lane,777-88-3696,shannonlloyd@example.org,WCLI10067626765861,33987.38,448.0,0
CUST_000134,Matthew Lawson,445-21-0878,riveraterri@example.com,JAKI11526218159970,64734.03,582.0,0
CUST_000135,Brandon Colon,641-77-7870,collinclark@example.net,WRXX84443106987205,19671.54,302.0,0
CUST_000136,Jeremiah Baker,858-35-9245,hernandezheather@example.org,JCPD46774186256527,36467.85,452.0,0
CUST_000137,James Nash,036-65-9359,davidtodd@example.org,CVLZ86938068687937,27979.36,629.0,0
CUST_000138,Gabriel Hill,470-02-9627,jrodriguez@example.org,FGZG20616329451168,64128.98,720.0,0
CUST_000139,Donald Thomas,624-88-6582,,SSSY11914856467997,28648.95,455.0,0
CUST_000140,Jason Brewer,193573464,wfigueroa@example.net,HBXP45054447132475,65162.37,,0
CUST_000141,Anthony Ward,204-36-6036,owagner@example.org,LBQZ21486289023303,65255.44,458.0,0
CUST_000142,Christopher Armstrong,220-29-3689,josephortiz@example.org,VAHL79727985524140,29509.99,382.0,0
CUST_000143,John Byrd,845-80-6507,,YYVA72290349446657,23407.92,799.0,0
CUST_000144,Stephanie Trujillo,822-77-6621,erin07@example.com,RUTT44171545444328,69030.15,532.0,0
CUST_000145,John Figueroa,743-72-3000,destiny35@example.org,INMM09935387584282,65379.73,,0
CUST_000146,Kathryn Dillon,391-68-4889,jbrown@example.org,XJNZ55494717099917,3737.0,667.0,0
CUST_000147,Caroline Duran,502-98-1443,christinaschultz@example.com,GKNS72521752500743,59335.22,474.0,0
CUST_000148,James Chapman,172-09-0750,stacy78@example.net,NPMA08350583003354,37073.88,446.0,0
CUST_000149,Barbara Dawson,812-05-6148,kelsey90@example.net,QKNV25753260332309,67367.59,776.0,1
CUST_000150,Brian Meyer,638-78-2248,grivas@example.net,BVDU00167618472304,25590.2,606.0,0
CUST_000151,Susan Watts,493-43-3843,smithchristopher@example.org,XTDJ11739348356420,14540.88,693.0,0
CUST_000152,Heather Rhodes,437951899,yorkpamela@example.org,SVPE18114374470120,21838.37,602.0,0
CUST_000153,Melissa Mendoza,432-84-2733,andersonjessica@example.org,EVUF55794155216674,64812.59,350.0,1
CUST_000154,Dennis Edwards,722-87-8599,tiffanysantiago@example.com,DNSP97296590277167,58068.44,535.0,0
CUST_000155,Sarah Booth,077-97-8056,john40@example.net,QQWW91637562890028,50671.22,440.0,0
CUST_000156,Jason Hawkins,001-12-9900,pamela83@example.net,HRUM63177971775170,32782.15,673.0,0
